Time,Output,Control
4.21,1,9.99995
4.22,1,9.99995
4.23,1,9.99995
4.24,1,9.99995
4.25,1,9.99995
4.26,1,9.99995
4.27,1,9.99995
4.28,1,9.99995
4.29,1,9.99995
4.3,1,9.99995
4.31,1,9.99995
4.32,1,9.99995
4.33,1,9.99995
4.34,1,9.99995
4.35,1,9.99995
4.36,1,9.99995
4.37,1,9.99995
4.38,1,9.99995
4.39,1,9.99995
4.4,1,9.99995
4.41,1,9.99995
4.42,1,9.99995
4.43,1,9.99995
4.44,1,9.99995
4.45,1,9.99995
4.46,1,9.99995
4.47,1,9.99995
4.48,1,9.99995
4.49,1,9.99995
4.5,1,9.99995
4.51,1,9.99995
4.52,1,9.99995
4.53,1,9.99995
4.54,1,9.99995
4.55,1,9.99995
4.56,1,9.99995
4.57,1,9.99995
4.58,1,9.99995
4.59,1,9.99995
4.6,1,9.99995
4.61,1,9.99995
4.62,1,9.99995
4.63,1,9.99995
4.64,1,9.99995
4.65,1,9.99995
4.66,1,9.99995
4.67,1,9.99995
4.68,1,9.99995
4.69,1,9.99995
4.7,1,9.99995
4.71,1,9.99995
4.72,1,9.99977
4.73,1,9.99958
4.74,1,10.0008
4.75,1,10.001
4.76,1,10.0005
4.77,1,10.0006
4.78,1,10.0007
4.79,1,10.0009
4.8,1,10.0003
4.81,1,10.0002
4.82,1,10.0001
4.83,1,9.99998
4.84,1,9.99998
4.85,1,9.99998
4.86,1,9.99998
4.87,1,9.99998
4.88,1,9.99998
4.89,1,9.99998
4.9,1,9.99998
4.91,1,9.99998
4.92,1,9.99998
4.93,1,9.99998
4.94,1,9.99998
4.95,1,9.99998
4.96,1,9.99998
4.97,1,9.99998
4.98,1,9.99998
4.99,1,9.99998
